 EPPLER/SOMERS PROFILE PROGRAM                  13:56  2Mar2026
 INPUT FILE: naca2412.dat
 PANEL METHOD AIRFOIL NACA2412     CL=   0.26063   6.94096   ALPHA0= 2.15 DEG.
 AIRFOIL NACA2412       12.00% THICKNESS
     0.00% FLAP     0.00 DEGREES DEFLECTION
 VELOCITY -DISTRIBUTION
 ANGLES OF ATTACK RELATIVE TO THE ZERO-LIFT LINE
  N     X        Y      2.00   8.00  10.00  12.00
  0  1.00008  0.00126  0.723  0.716  0.712  0.707
  1  0.99737  0.00182  0.839  0.836  0.833  0.830
  2  0.98926  0.00350  0.887  0.889  0.888  0.885
  3  0.97582  0.00623  0.927  0.934  0.933  0.932
  4  0.95722  0.00993  0.960  0.971  0.972  0.973
  5  0.93362  0.01448  0.987  1.004  1.007  1.009
  6  0.90529  0.01975  1.012  1.035  1.040  1.044
  7  0.87251  0.02558  1.034  1.064  1.071  1.077
  8  0.83564  0.03181  1.055  1.092  1.101  1.109
  9  0.79507  0.03826  1.075  1.118  1.130  1.141
 10  0.75123  0.04477  1.093  1.145  1.159  1.172
 11  0.70459  0.05118  1.111  1.172  1.189  1.205
 12  0.65567  0.05730  1.128  1.198  1.218  1.237
 13  0.60498  0.06298  1.144  1.225  1.249  1.271
 14  0.55310  0.06806  1.161  1.253  1.281  1.307
 15  0.50059  0.07238  1.178  1.283  1.314  1.345
 16  0.44803  0.07580  1.194  1.314  1.351  1.386
 17  0.39599  0.07817  1.213  1.350  1.392  1.433
 18  0.34468  0.07920  1.230  1.386  1.434  1.481
 19  0.29508  0.07866  1.240  1.418  1.474  1.528
 20  0.24777  0.07656  1.247  1.450  1.514  1.576
 21  0.20331  0.07295  1.249  1.481  1.555  1.627
 22  0.16222  0.06793  1.245  1.513  1.599  1.683
 23  0.12497  0.06166  1.237  1.548  1.649  1.747
 24  0.09200  0.05433  1.221  1.589  1.707  1.824
 25  0.06366  0.04614  1.194  1.635  1.778  1.919
 26  0.04026  0.03735  1.151  1.695  1.873  2.048
 27  0.02205  0.02815  1.073  1.767  1.994  2.219
 28  0.00921  0.01876  0.912  1.833  2.135  2.436
 29  0.00184  0.00934  0.548  1.783  2.191  2.596
 30  0.00000  0.00000  0.138  1.280  1.750  2.218
 31  0.00364 -0.00880  0.771  0.448  0.854  1.259
 32  0.01265 -0.01661  1.045  0.145  0.156  0.456
 33  0.02689 -0.02341  1.134  0.460  0.234  0.008
 34  0.04619 -0.02917  1.157  0.633  0.457  0.280
 35  0.07032 -0.03387  1.157  0.735  0.592  0.448
 36  0.09899 -0.03751  1.149  0.798  0.679  0.560
 37  0.13188 -0.04010  1.136  0.839  0.738  0.636
 38  0.16865 -0.04169  1.121  0.866  0.779  0.691
 39  0.20890 -0.04235  1.106  0.884  0.808  0.731
 40  0.25223 -0.04218  1.090  0.895  0.828  0.760
 41  0.29818 -0.04133  1.076  0.903  0.843  0.783
 42  0.34630 -0.03994  1.062  0.908  0.855  0.800
 43  0.39610 -0.03818  1.052  0.915  0.866  0.817
 44  0.44744 -0.03605  1.045  0.921  0.877  0.832
 45  0.49941 -0.03349  1.034  0.922  0.883  0.842
 46  0.55143 -0.03064  1.023  0.923  0.887  0.851
 47  0.60293 -0.02761  1.013  0.923  0.890  0.857
 48  0.65335 -0.02450  1.003  0.922  0.893  0.862
 49  0.70215 -0.02140  0.993  0.921  0.894  0.867
 50  0.74877 -0.01838  0.984  0.919  0.895  0.870
 51  0.79272 -0.01550  0.975  0.917  0.896  0.873
 52  0.83349 -0.01279  0.965  0.914  0.895  0.875
 53  0.87063 -0.01029  0.955  0.911  0.893  0.875
 54  0.90373 -0.00803  0.944  0.905  0.890  0.874
 55  0.93240 -0.00605  0.930  0.897  0.884  0.870
 56  0.95633 -0.00438  0.915  0.887  0.876  0.864
 57  0.97523 -0.00303  0.893  0.871  0.861  0.851
 58  0.98889 -0.00206  0.865  0.847  0.839  0.830
 59  0.99715 -0.00146  0.827  0.814  0.808  0.801
 60  0.99992 -0.00126  0.723  0.716  0.712  0.707
